"","n_genes","min_corr","gene"
"149",149,0.930364581184416,"Tnnc1"
"150",150,0.907725949199802,"Htra1"
"151",151,0.927103935464576,"Pdlim2"
"152",152,0.931195499920007,"Syk"
"153",153,0.932236539263299,"Rrp1b"
"154",154,0.927108982425128,"Lhx2"
"155",155,0.929898719833718,"Cda"
"156",156,0.931117176613938,"Des"
"157",157,0.93398912388211,"Tmem213"
"158",158,0.936154670100963,"Knstrn"
"159",159,0.934830844580811,"Cyp26a1"
"160",160,0.939352705966507,"Mylk3"
"161",161,0.936711144161985,"Anxa4"
"162",162,0.937155167127667,"Arhgap18"
"163",163,0.940037883712274,"Hoxb1"
"164",164,0.940142154001699,"Upk1a"
"165",165,0.942048843431256,"Pax8"
"166",166,0.94515764960544,"I830077J02Rik"
"167",167,0.946701145348411,"Ddc"
"168",168,0.947984652579488,"Tnfsf12"
"169",169,0.948072474177806,"Sdf2l1"
"170",170,0.945691868681529,"Adgrl4"
"171",171,0.947467475163211,"Kif23"
"172",172,0.942571758735163,"Wnt6"
"173",173,0.942658539392925,"Sgk3"
"174",174,0.944960708000055,"Aqp3"
"175",175,0.946665052436934,"Qprt"
"176",176,0.946800838362164,"Itgb3"
"177",177,0.948598298907558,"Cdx4"
"178",178,0.950303153636663,"Rsrp1"
"179",179,0.951881404400879,"Slc38a7"
"180",180,0.952567514413625,"Eras"
"181",181,0.953041898755018,"1500009L16Rik"
"182",182,0.952361418872837,"Fam181a"
"183",183,0.95096106430247,"Tcf15"
"184",184,0.955271122011342,"Rrp15"
"185",185,0.952177536963497,"Bves"
"186",186,0.954439153122612,"Pth1r"
"187",187,0.955810407734914,"Aadat"
"188",188,0.956557415230079,"Kif22"
"189",189,0.957843184551655,"Ahnak"
"190",190,0.957319032681206,"AC153379.1"
"191",191,0.958233512467531,"Sp5"
"192",192,0.957250553815286,"Gns"
"193",193,0.955894911610464,"Gimap1"
"194",194,0.959701925059918,"Smarcd3"
"195",195,0.961173935220378,"Rab27b"
"196",196,0.942930525034407,"Tyrobp"
"197",197,0.961246112600409,"Traf4"
"198",198,0.953622130460236,"Rgs7bp"
"199",199,0.958909262153571,"Mfsd13a"
"200",200,0.959360582457029,"Tmem38a"
"201",201,0.960371373014308,"Cnn1"
"202",202,0.953263377896126,"Nppa"
"203",203,0.958698029891852,"Kcnj5"
"204",204,0.960459020087084,"Kcnmb1"
"205",205,0.961968318446422,"Cdx1"
"206",206,0.960293908378462,"Rasgrp3"
"207",207,0.961837061124997,"Clec14a"
"208",208,0.962378553012637,"Cdca2"
"209",209,0.960833232457138,"Pwwp2b"
"210",210,0.960784288914956,"St3gal6"
"211",211,0.955675526590077,"Gp5"
"212",212,0.961000824953677,"Serpina1b"
"213",213,0.961451518500705,"Sox9"
"214",214,0.963908051995724,"Cenpa"
"215",215,0.95279081278139,"Dlx6os1"
"216",216,0.963194171182018,"Arhgap1"
"217",217,0.962108633926344,"Rcsd1"
"218",218,0.953672361307031,"Cav2"
"219",219,0.961047762076589,"Plxnd1"
"220",220,0.96339180986521,"Ppp2r3a"
"221",221,0.964950773949326,"Serpinb1a"
"222",222,0.965215089950222,"Fgf17"
"223",223,0.965419604467104,"1700011H14Rik"
"224",224,0.963784175258946,"Cebpb"
